Image_name, Correct features, Localization error, Time (ms), Size
../images/brisk_dataset/IMAGE 2020-10-04 22:12:22.jpg,0,0,50,480:640
../images/brisk_dataset/IMAGE 2020-10-04 22:12:36.jpg,0,0,23,960:720
../images/brisk_dataset/IMAGE 2020-10-04 21:05:26.jpg,0.0526316,73,1166,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:37:19.jpg,0.9375,80.15,104,1200:1600
../images/brisk_dataset/IMAGE 2020-10-05 18:43:29.jpg,0.983425,62.2921,788,1440:1920
../images/brisk_dataset/IMAGE 2020-10-05 18:44:20.jpg,0.7,72.1429,50,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:37:30.jpg,0.0526316,82,236,720:960
../images/brisk_dataset/IMAGE 2020-10-05 18:37:18.jpg,0.833333,85.6,69,960:1280
../images/brisk_dataset/IMAGE 2020-10-05 18:53:05.jpg,0.992908,64.2393,183,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 22:11:58.jpg,0,0,50,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 19:06:59.jpg,0,0,228,480:640
../images/brisk_dataset/IMAGE 2020-10-04 22:12:35.jpg,0,0,33,960:720
../images/brisk_dataset/IMAGE 2020-10-04 22:12:09.jpg,0.977273,80.7442,61,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 21:05:31.jpg,0.953488,80.3781,113,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:42:42.jpg,0.963964,64.3645,176,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:37:26.jpg,0.157895,71,185,480:640
../images/brisk_dataset/IMAGE 2020-10-05 18:44:23.jpg,0.833333,75.08,49,960:720
../images/brisk_dataset/IMAGE 2020-10-05 18:44:22.jpg,1,67.913,97,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:37:33.jpg,0.85567,67.5301,215,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 21:05:24.jpg,0.823529,77.0952,111,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 22:12:08.jpg,0,0,35,640:480
../images/brisk_dataset/IMAGE 2020-10-04 22:12:20.jpg,0.733333,77.0909,50,720:960
../images/brisk_dataset/IMAGE 2020-10-04 21:05:18.jpg,0.793103,74.6087,159,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 22:12:18.jpg,0,0,105,1200:1600
../images/brisk_dataset/IMAGE 2020-10-04 22:12:24.jpg,0.571429,74.65,127,1440:1920
../images/brisk_dataset/IMAGE 2020-10-04 21:05:08.jpg,0,0,40,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:37:37.jpg,0.847458,74.88,37,720:960
../images/brisk_dataset/IMAGE 2020-10-05 18:37:23.jpg,0.902439,78.7027,151,960:1280
../images/brisk_dataset/IMAGE 2020-10-05 18:53:03.jpg,0.987013,70.3289,152,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 21:57:29.jpg,1,78.4286,51,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 22:12:31.jpg,0,0,28,640:480
../images/brisk_dataset/IMAGE 2020-10-04 21:05:21.jpg,0,0,31,960:720
../images/brisk_dataset/IMAGE 2020-10-05 18:52:57.jpg,0.983333,70.7627,97,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 19:06:49.jpg,0,0,94,1200:1600
../images/brisk_dataset/origin0.jpg,0.988095,69.5301,115,1272:1920
../images/brisk_dataset/origin2.jpg,1,72.1111,108,640:404
../images/brisk_dataset/IMAGE 2020-10-04 22:12:33.jpg,0.896552,73.1731,54,960:720
../images/brisk_dataset/IMAGE 2020-10-05 18:44:25.jpg,0.984615,68.6406,513,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:37:35.jpg,0.973684,69.1622,232,1200:1600
../images/brisk_dataset/IMAGE 2020-10-05 18:37:21.jpg,0.921875,77.2203,99,1440:1920
../images/brisk_dataset/IMAGE 2020-10-04 21:05:22.jpg,0.955556,90.6047,25,640:480
../images/brisk_dataset/IMAGE 2020-10-04 20:35:52.jpg,0,0,23,720:960
../images/brisk_dataset/IMAGE 2020-10-04 21:57:59.jpg,0.971429,76.1029,129,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:45:03.jpg,0.983333,65.7034,461,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:39:57.jpg,0,0,84,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:44:57.jpg,0.988235,68.2262,228,960:720
../images/brisk_dataset/IMAGE 2020-10-04 20:24:16.jpg,0.973684,73.5135,42,960:1280
../images/brisk_dataset/IMAGE 2020-10-05 18:37:47.jpg,0,0,117,1200:1600
../images/brisk_dataset/IMAGE 2020-10-05 18:39:42.jpg,0.97561,70.5875,133,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 19:05:55.jpg,0,0,23,640:480
../images/brisk_dataset/IMAGE 2020-10-04 21:05:44.jpg,0,0,47,960:720
../images/brisk_dataset/IMAGE 2020-10-04 22:12:40.jpg,0.833333,79.72,89,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:52:26.jpg,0.955224,72.7656,180,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 20:35:47.jpg,0,0,44,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:52:30.jpg,0,0,109,640:480
../images/brisk_dataset/IMAGE 2020-10-04 20:35:45.jpg,0.863636,91,22,960:720
../images/brisk_dataset/IMAGE 2020-10-05 18:52:24.jpg,0.923077,71.25,580,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 19:06:06.jpg,0.814815,73.7273,86,1200:1600
../images/brisk_dataset/IMAGE 2020-10-05 18:42:21.jpg,0.918605,71.4177,169,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:42:35.jpg,0,0,175,640:480
../images/brisk_dataset/IMAGE 2020-10-05 19:05:57.jpg,0,0,43,720:960
../images/brisk_dataset/IMAGE 2020-10-05 18:42:09.jpg,0.966102,67.7281,220,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:40:18.jpg,0.986111,65.1268,825,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:39:54.jpg,0,0,518,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 20:24:28.jpg,0,0,84,640:480
../images/brisk_dataset/IMAGE 2020-10-04 20:24:14.jpg,0.980645,68.1053,78,720:960
../images/brisk_dataset/IMAGE 2020-10-05 18:44:55.jpg,0.99375,63.0314,540,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:45:01.jpg,0.930556,66.6119,576,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 20:35:50.jpg,0,0,30,720:960
../images/brisk_dataset/IMAGE 2020-10-05 19:06:03.jpg,0.888889,72.1875,101,960:1280
../images/brisk_dataset/IMAGE 2020-10-04 20:35:54.jpg,1,78.5789,67,1200:1600
../images/brisk_dataset/IMAGE 2020-10-04 20:35:40.jpg,0.111111,82.6,70,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 21:05:43.jpg,0,0,16,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:42:18.jpg,0.636364,77.6429,108,960:720
../images/brisk_dataset/IMAGE 2020-10-04 20:36:11.jpg,0,0,100,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 19:45:49.jpg,0.932203,73.9455,212,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:42:24.jpg,0.919355,72.1228,157,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:42:30.jpg,0,0,375,480:640
../images/brisk_dataset/IMAGE 2020-10-05 18:37:40.jpg,0.774648,73.2909,185,720:960
../images/brisk_dataset/IMAGE 2020-10-04 20:24:10.jpg,0.75,81.1458,68,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:39:50.jpg,0.910256,72.3803,141,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:39:44.jpg,0.973333,70.2055,116,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:37:41.jpg,0,0,39,480:640
../images/brisk_dataset/IMAGE 2020-10-05 18:40:20.jpg,0.944444,76.9706,757,960:720
../images/brisk_dataset/IMAGE 2020-10-05 19:05:53.jpg,0,0,36,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:52:20.jpg,1,67.5532,191,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 20:35:57.jpg,0,0,70,1440:1920
../images/brisk_dataset/IMAGE 2020-10-05 18:45:06.jpg,0,0,273,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:40:22.jpg,1,82.7083,44,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:39:52.jpg,0.972477,72.1604,121,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:39:46.jpg,0.924731,66.3953,75,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 20:24:12.jpg,0.863014,78.4444,37,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:42:26.jpg,0.863636,70.4737,45,960:720
../images/brisk_dataset/IMAGE 2020-10-04 20:36:13.jpg,0,0,121,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 20:35:42.jpg,0.970149,76.0154,117,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 19:06:01.jpg,0,0,69,1440:1920
../images/brisk_dataset/IMAGE 2020-10-04 19:45:46.jpg,0,0,126,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:40:12.jpg,0.840909,77.2432,44,960:720
../images/brisk_dataset/IMAGE 2020-10-04 20:16:47.jpg,0,0,101,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 20:24:22.jpg,1,72.4737,58,1440:1920
../images/brisk_dataset/IMAGE 2020-10-04 21:58:00.jpg,0.173913,98.75,41,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:42:16.jpg,0.957747,72.9559,336,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 21:57:51.jpg,0.99187,75.0984,136,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:52:13.jpg,0.962025,66.5,740,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 21:57:53.jpg,0,0,12,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:45:09.jpg,0.714286,67.7,433,960:720
../images/brisk_dataset/IMAGE 2020-10-05 18:42:28.jpg,0.75,46.6667,1642,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 20:16:44.jpg,0,0,76,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 21:58:02.jpg,0,0,121,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 20:11:59.jpg,0,0,32,480:640
../images/brisk_dataset/IMAGE 2020-10-04 20:24:09.jpg,0,0,18,960:720
../images/brisk_dataset/IMAGE 2020-10-04 20:24:35.jpg,0,0,122,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 20:24:20.jpg,0.985507,76,48,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:39:48.jpg,0,0,1111,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:40:10.jpg,0.933333,87.2857,35,640:480
../images/brisk_dataset/IMAGE 2020-10-04 19:45:44.jpg,0.884615,85.9565,58,960:720
../images/brisk_dataset/IMAGE 2020-10-04 20:35:59.jpg,0.354839,81.0909,34,960:1280
../images/brisk_dataset/IMAGE 2020-10-05 18:52:28.jpg,0.9,75.7778,243,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 21:57:56.jpg,0.924528,80.2653,65,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:42:11.jpg,0,0,30,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:40:14.jpg,1,70.938,58,960:720
../images/brisk_dataset/IMAGE 2020-10-04 19:47:51.jpg,0.916667,76.4773,112,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 21:58:07.jpg,0,0,28,1600:1346
../images/brisk_dataset/IMAGE 2020-10-05 18:37:49.jpg,0.25,58,98,1440:1920
../images/brisk_dataset/IMAGE 2020-10-04 20:24:18.jpg,0,0,31,640:480
../images/brisk_dataset/IMAGE 2020-10-04 20:24:25.jpg,0.857143,76.8889,25,960:720
../images/brisk_dataset/IMAGE 2020-10-05 18:44:59.jpg,0.9,65.4722,628,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:40:01.jpg,0.974684,75.6753,132,1200:1600
../images/brisk_dataset/IMAGE 2020-10-05 18:52:15.jpg,0,0,161,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:52:17.jpg,0.0625,93,361,960:720
../images/brisk_dataset/IMAGE 2020-10-04 21:57:55.jpg,0,0,47,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:40:03.jpg,0.981132,69.6538,161,1200:1600
../images/brisk_dataset/IMAGE 2020-10-04 20:16:42.jpg,0.991667,70.1681,99,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 20:24:27.jpg,0,0,18,640:554
../images/brisk_dataset/IMAGE 2020-10-04 20:24:33.jpg,0.885714,88.6452,61,960:720
../images/brisk_dataset/IMAGE 2020-10-05 18:50:13.jpg,0.5,41.5,1127,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:40:16.jpg,0.851064,75.9,53,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:42:13.jpg,0.73913,83.4118,55,640:480
../images/brisk_dataset/IMAGE 2020-10-04 22:11:52.jpg,0,0,73,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 19:06:53.jpg,0.761905,64.5,830,1200:1600
../images/brisk_dataset/IMAGE 2020-10-04 22:12:03.jpg,0.833333,72.26,79,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 21:57:27.jpg,0,0,14,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:44:15.jpg,0.98,68.5102,51,960:720
../images/brisk_dataset/IMAGE 2020-10-05 18:43:20.jpg,0.947368,70.7222,447,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 21:57:26.jpg,1,76.3475,67,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 21:57:32.jpg,1,83,42,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 22:12:16.jpg,0,0,37,480:640
../images/brisk_dataset/IMAGE 2020-10-04 22:12:02.jpg,0,0,49,960:720
../images/brisk_dataset/IMAGE 2020-10-04 20:35:39.jpg,0,0,91,1280:871
../images/brisk_dataset/IMAGE 2020-10-05 19:06:46.jpg,0.814815,73.7273,84,1200:1600
../images/brisk_dataset/IMAGE 2020-10-05 18:52:58.jpg,1,63.969,359,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 22:11:53.jpg,0.921569,83.5319,40,640:480
../images/brisk_dataset/IMAGE 2020-10-04 22:12:00.jpg,0.0961538,96,54,960:720
../images/brisk_dataset/IMAGE 2020-10-04 21:57:30.jpg,0.117647,132,19,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:44:16.jpg,0,0,54,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 18:43:22.jpg,1,59.1786,2857,1440:1920
../images/brisk_dataset/IMAGE 2020-10-04 22:12:29.jpg,0,0,34,720:960
../images/brisk_dataset/IMAGE 2020-10-05 19:06:51.jpg,0.733333,67.7273,934,960:1280
../images/brisk_dataset/IMAGE 2020-10-04 21:57:35.jpg,1,87.32,63,1600:1200
../images/brisk_dataset/IMAGE 2020-10-05 19:07:01.jpg,0,0,48,1440:1920
../images/brisk_dataset/IMAGE 2020-10-05 18:44:13.jpg,0,0,61,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:43:27.jpg,0.825,73.7879,387,720:960
../images/brisk_dataset/imagfdfhfh.jpg,1,58.5315,73,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 21:05:28.jpg,0.995098,69.4483,100,1600:1200
../images/brisk_dataset/IMAGE 2020-10-04 22:12:38.jpg,0,0,76,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 21:57:34.jpg,0.888889,86.125,13,640:480
../images/brisk_dataset/IMAGE 2020-10-05 19:06:54.jpg,0.925926,74.2,447,720:960
../images/brisk_dataset/IMAGE 2020-10-04 22:12:06.jpg,0,0,47,1280:960
../images/brisk_dataset/IMAGE 2020-10-04 22:12:12.jpg,0.606061,82.9,92,1200:1600
../images/brisk_dataset/Image.jpg,0.938462,72.1803,167,1920:1440
../images/brisk_dataset/IMAGE 2020-10-05 18:37:15.jpg,0,0,29,640:480
../images/brisk_dataset/IMAGE 2020-10-05 18:43:18.jpg,0.911765,71.4194,80,960:720
../images/brisk_dataset/IMAGE 2020-10-05 18:44:11.jpg,0,0,273,1280:960
../images/brisk_dataset/IMAGE 2020-10-05 18:43:24.jpg,0.925373,66.0323,481,1200:1600
../images/brisk_dataset/IMAGE 2020-10-05 18:37:14.jpg,0.862745,78.2955,81,1920:1440
../images/brisk_dataset/IMAGE 2020-10-04 22:12:13.jpg,0,0,38,480:640
../images/brisk_dataset/IMAGE 2020-10-04 21:57:37.jpg,1,88.35,57,960:720
../images/brisk_dataset/IMAGE 2020-10-05 19:06:57.jpg,0,0,796,960:1280
../images/brisk_dataset/IMAGE 2020-10-04 22:11:56.jpg,0.8,85.35,46,1600:1200
