Image_name, Correct features, Localization error, Time (ms), Size
../images/surf_dataset/scene_9 resized 3.jpeg,0.997006,78.8378,786,2500:3337
../images/surf_dataset/scene_2.jpeg,0,0,249,717:957
../images/surf_dataset/scene_27.jpeg,0.980769,81.0588,233,956:1276
../images/surf_dataset/scene_89.jpeg,0,0,2086,1914:1434
../images/surf_dataset/scene_100.jpeg,0,0,793,638:478
../images/surf_dataset/scene_66.jpeg,0.0769231,103,1799,957:717
../images/surf_dataset/scene_31.jpeg,0,0,736,1276:956
../images/surf_dataset/scene_46.jpeg,0.990338,76.4976,932,1195:1595
../images/surf_dataset/scene_11.jpeg,0,0,203,596:591
../images/surf_dataset/scene_50.jpeg,0,0,73,478:638
../images/surf_dataset/scene_9 resized.jpeg,0,0,44,150:200
../images/surf_dataset/scene_93.jpeg,0,0,794,1276:956
../images/surf_dataset/scene_85.jpeg,0.971963,88.5,446,1195:1595
../images/surf_dataset/scene_84.jpeg,0,0,12711,1914:1434
../images/surf_dataset/scene_92.jpeg,0.0483871,115,257,638:478
../images/surf_dataset/scene_51.jpeg,0.872093,89.8267,255,717:957
../images/surf_dataset/scene_10.jpeg,0.855263,85.6769,799,956:1276
../images/surf_dataset/scene_47.jpeg,1,79.1761,398,1195:1595
../images/surf_dataset/scene_30.jpeg,0.99569,73.3074,718,1434:1914
../images/surf_dataset/scene_88.jpeg,0,0,258,478:638
../images/surf_dataset/scene_101.jpeg,0,0,97,717:957
../images/surf_dataset/scene_67.jpeg,0,0,51,626:1280
../images/surf_dataset/scene_71.jpeg,0,0,609,1595:1195
../images/surf_dataset/scene_3.jpeg,1,89.5194,312,1434:1914
../images/surf_dataset/scene_26.jpeg,0,0,190,638:478
../images/surf_dataset/scene_9 resized 2.jpeg,0.985294,79.5522,433,1050:1402
../images/surf_dataset/scene_40.jpeg,0.980769,81.6569,552,956:1276
../images/surf_dataset/scene_17.jpeg,0.962264,94.3137,291,1595:1195
../images/surf_dataset/scene_56.jpeg,0.980198,85.5253,461,1434:1914
../images/surf_dataset/scene_8.jpeg,0,0,29,638:478
../images/surf_dataset/scene_95.jpeg,0.871795,74.9706,785,957:717
../images/surf_dataset/scene_83.jpeg,0.555556,100.2,378,956:1276
../images/surf_dataset/scene_21.jpeg,0.963636,81.4151,411,1595:1195
../images/surf_dataset/scene_4.jpeg,0.980315,76.8474,1015,1434:1914
../images/surf_dataset/scene_99.jpeg,0,0,337,478:638
../images/surf_dataset/scene_76.jpeg,0,0,1238,717:957
../images/surf_dataset/scene_60.jpeg,0,0,593,1276:956
../images/surf_dataset/scene_37.jpeg,0.98374,78.7562,670,1195:1595
../images/surf_dataset/scene_36.jpeg,0,0,613,1914:1434
../images/surf_dataset/scene_61.jpeg,0,0,352,638:478
../images/surf_dataset/scene_77.jpeg,0,0,473,717:957
../images/surf_dataset/scene_20.jpeg,0,0,1870,1276:956
../images/surf_dataset/scene_5.jpeg,0.973214,82.2936,331,1195:1595
../images/surf_dataset/scene_82.jpeg,0.458333,85.0909,3418,1434:1914
../images/surf_dataset/scene_94.jpeg,1,83.6988,271,478:638
../images/surf_dataset/scene_9.jpeg,1,83.6517,279,717:957
../images/surf_dataset/scene_57.jpeg,0.0882353,88.6667,694,1276:956
../images/surf_dataset/scene_16.jpeg,0,0,130,1195:1595
../images/surf_dataset/scene_41.jpeg,0.992832,77.5126,663,1434:1914
../images/surf_dataset/scene_39.jpeg,0,0,988,638:478
../images/surf_dataset/scene_81.jpeg,0,0,127,717:957
../images/surf_dataset/scene_78.jpeg,0.983784,73.4286,718,956:1276
../images/surf_dataset/scene_97.jpeg,0.996377,75.4473,1142,1595:1195
../images/surf_dataset/scene_54.jpeg,0,0,140,609:1130
../images/surf_dataset/scene_15.jpeg,0,0,126,478:638
../images/surf_dataset/scene_42.jpeg,0.971698,78.7476,350,957:717
../images/surf_dataset/scene_35.jpeg,0,0,227,1276:956
../images/surf_dataset/scene_62.jpeg,0.185185,79.4,414,1195:1595
../images/surf_dataset/scene_104.jpeg,0.960998,66.3896,2745,1914:1434
