Image_name, Correct features, Localization error, Time (ms), Size
../img_surf_dataset/scene_9 resized 3.jpeg,0.997006,78.8378,804,2500:3337
../img_surf_dataset/scene_2.jpeg,0,0,204,717:957
../img_surf_dataset/scene_27.jpeg,0.980769,81.0588,254,956:1276
../img_surf_dataset/scene_89.jpeg,0,0,2159,1914:1434
../img_surf_dataset/scene_100.jpeg,0,0,799,638:478
../img_surf_dataset/scene_66.jpeg,0.0769231,103,1556,957:717
../img_surf_dataset/scene_31.jpeg,0,0,615,1276:956
../img_surf_dataset/scene_46.jpeg,0.990338,76.4976,714,1195:1595
../img_surf_dataset/scene_11.jpeg,0,0,164,596:591
../img_surf_dataset/scene_50.jpeg,0,0,63,478:638
../img_surf_dataset/scene_9 resized.jpeg,0,0,45,150:200
../img_surf_dataset/scene_93.jpeg,0,0,727,1276:956
../img_surf_dataset/scene_85.jpeg,0.971963,88.5,343,1195:1595
../img_surf_dataset/scene_84.jpeg,0,0,10392,1914:1434
../img_surf_dataset/scene_92.jpeg,0.0483871,115,216,638:478
../img_surf_dataset/scene_51.jpeg,0.872093,89.8267,209,717:957
../img_surf_dataset/scene_10.jpeg,0.855263,85.6769,677,956:1276
../img_surf_dataset/scene_47.jpeg,1,79.1761,359,1195:1595
../img_surf_dataset/scene_30.jpeg,0.99569,73.3074,616,1434:1914
../img_surf_dataset/scene_88.jpeg,0,0,227,478:638
../img_surf_dataset/scene_101.jpeg,0,0,86,717:957
../img_surf_dataset/scene_67.jpeg,0,0,49,626:1280
../img_surf_dataset/scene_71.jpeg,0,0,483,1595:1195
../img_surf_dataset/scene_3.jpeg,1,89.5194,265,1434:1914
../img_surf_dataset/scene_26.jpeg,0,0,174,638:478
../img_surf_dataset/scene_9 resized 2.jpeg,0.985294,79.5522,364,1050:1402
../img_surf_dataset/scene_40.jpeg,0.980769,81.6569,470,956:1276
../img_surf_dataset/scene_17.jpeg,0.962264,94.3137,262,1595:1195
../img_surf_dataset/scene_56.jpeg,0.980198,85.5253,369,1434:1914
../img_surf_dataset/scene_8.jpeg,0,0,31,638:478
../img_surf_dataset/scene_95.jpeg,0.871795,74.9706,625,957:717
../img_surf_dataset/scene_83.jpeg,0.555556,100.2,324,956:1276
../img_surf_dataset/scene_21.jpeg,0.963636,81.4151,366,1595:1195
../img_surf_dataset/scene_4.jpeg,0.980315,76.8474,863,1434:1914
../img_surf_dataset/scene_99.jpeg,0,0,281,478:638
../img_surf_dataset/scene_76.jpeg,0,0,1011,717:957
